index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,88520915,1631165201089949,649,1631165289610215,0.0,DOWN,88541943.0,88545539.0,0.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165289627852.0,1631165289631448.0,21233.0,17637.0,Motorola moto g stylus (XT2115DL),none
1,89527468,1631165201089949,649,1631165290616768,0.0,DOWN,89561694.0,89566861.0,1.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165290647603.0,1631165290652770.0,36002.0,30835.0,Motorola moto g stylus (XT2115DL),none
2,90539847,1631165201089949,649,1631165291629147,0.0,DOWN,90570046.0,90573804.0,2.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165291655955.0,1631165291659713.0,30566.0,26808.0,Motorola moto g stylus (XT2115DL),none
3,91551871,1631165201089949,649,1631165292641171,0.0,DOWN,91578907.0,91582553.0,3.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165292664816.0,1631165292668462.0,27291.0,23645.0,Motorola moto g stylus (XT2115DL),none
4,92564302,1631165201089949,649,1631165293653602,0.0,DOWN,92592669.0,92595783.0,4.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165293678578.0,1631165293681692.0,28090.0,24976.0,Motorola moto g stylus (XT2115DL),none
5,93576313,1631165201089949,649,1631165294665613,0.0,DOWN,93611348.0,93616976.0,5.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165294697257.0,1631165294702885.0,37272.0,31644.0,Motorola moto g stylus (XT2115DL),none
6,94588652,1631165201089949,649,1631165295677952,0.0,DOWN,94619124.0,94622948.0,6.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165295705033.0,1631165295708857.0,30905.0,27081.0,Motorola moto g stylus (XT2115DL),none
7,95599824,1631165201089949,649,1631165296689124,0.0,DOWN,95628394.0,95633927.0,7.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165296714303.0,1631165296719836.0,30712.0,25179.0,Motorola moto g stylus (XT2115DL),none
8,96613016,1631165201089949,649,1631165297702316,0.0,DOWN,96645197.0,96650142.0,8.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165297731106.0,1631165297736051.0,33735.0,28790.0,Motorola moto g stylus (XT2115DL),none
9,97630472,1631165201089949,649,1631165298719772,0.0,DOWN,97652690.0,97657134.0,9.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165298738599.0,1631165298743043.0,23271.0,18827.0,Motorola moto g stylus (XT2115DL),none
10,98636999,1631165201089949,649,1631165299726299,0.0,DOWN,98670172.0,98674894.0,10.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165299756081.0,1631165299760803.0,34504.0,29782.0,Motorola moto g stylus (XT2115DL),none
11,99656816,1631165201089949,649,1631165300746116,0.0,DOWN,99678077.0,99683057.0,11.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165300763986.0,1631165300768966.0,22850.0,17870.0,Motorola moto g stylus (XT2115DL),none
12,100669510,1631165201089949,649,1631165301758810,0.0,DOWN,100695128.0,100698859.0,12.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165301781037.0,1631165301784768.0,25958.0,22227.0,Motorola moto g stylus (XT2115DL),none
13,101683817,1631165201089949,649,1631165302773117,0.0,DOWN,101710970.0,101714542.0,13.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165302796879.0,1631165302800451.0,27334.0,23762.0,Motorola moto g stylus (XT2115DL),none
14,102692679,1631165201089949,649,1631165303781979,0.0,DOWN,102718276.0,102722060.0,14.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165303804185.0,1631165303807969.0,25990.0,22206.0,Motorola moto g stylus (XT2115DL),none
15,103712379,1631165201089949,649,1631165304801679,0.0,DOWN,103735862.0,103739561.0,15.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165304821771.0,1631165304825470.0,23791.0,20092.0,Motorola moto g stylus (XT2115DL),none
16,104726647,1631165201089949,649,1631165305815947,0.0,DOWN,104753198.0,104758356.0,16.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165305839107.0,1631165305844265.0,28318.0,23160.0,Motorola moto g stylus (XT2115DL),none
17,105735076,1631165201089949,649,1631165306824376,0.0,DOWN,105761673.0,105765165.0,17.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165306847582.0,1631165306851074.0,26698.0,23206.0,Motorola moto g stylus (XT2115DL),none
18,106750171,1631165201089949,649,1631165307839471,0.0,DOWN,106785109.0,106789627.0,18.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165307871018.0,1631165307875536.0,36065.0,31547.0,Motorola moto g stylus (XT2115DL),none
19,107769516,1631165201089949,649,1631165308858816,0.0,DOWN,107793848.0,107798857.0,19.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165308879757.0,1631165308884766.0,25950.0,20941.0,Motorola moto g stylus (XT2115DL),none
20,108779166,1631165201089949,649,1631165309868466,0.0,DOWN,108820125.0,108824620.0,20.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165309906034.0,1631165309910529.0,42063.0,37568.0,Motorola moto g stylus (XT2115DL),none
21,109792148,1631165201089949,649,1631165310881448,0.0,DOWN,109827768.0,109834399.0,21.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165310913677.0,1631165310920308.0,38860.0,32229.0,Motorola moto g stylus (XT2115DL),none
22,110807203,1631165201089949,649,1631165311896503,0.0,DOWN,110845466.0,110849975.0,22.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165311931375.0,1631165311935884.0,39381.0,34872.0,Motorola moto g stylus (XT2115DL),none
23,111826548,1631165201089949,649,1631165312915848,0.0,DOWN,111861065.0,111864576.0,23.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165312946974.0,1631165312950485.0,34637.0,31126.0,Motorola moto g stylus (XT2115DL),none
24,112834518,1631165201089949,649,1631165313923818,0.0,DOWN,112869612.0,112875205.0,24.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165313955521.0,1631165313961114.0,37296.0,31703.0,Motorola moto g stylus (XT2115DL),none
25,113854651,1631165201089949,649,1631165314943951,0.0,DOWN,113894272.0,113898824.0,25.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165314980181.0,1631165314984733.0,40782.0,36230.0,Motorola moto g stylus (XT2115DL),none
26,114862201,1631165201089949,649,1631165315951501,0.0,DOWN,114903137.0,114906374.0,26.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165315989046.0,1631165315992283.0,40782.0,37545.0,Motorola moto g stylus (XT2115DL),none
27,115878135,1631165201089949,649,1631165316967435,0.0,DOWN,115903389.0,115906937.0,27.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165316989298.0,1631165316992846.0,25411.0,21863.0,Motorola moto g stylus (XT2115DL),none
28,116892849,1631165201089949,649,1631165317982149,0.0,DOWN,116927845.0,116932589.0,28.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165318013754.0,1631165318018498.0,36349.0,31605.0,Motorola moto g stylus (XT2115DL),none
29,117907156,1631165201089949,649,1631165318996456,0.0,DOWN,117945458.0,117949595.0,29.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165319031367.0,1631165319035504.0,39048.0,34911.0,Motorola moto g stylus (XT2115DL),none
30,118921464,1631165201089949,649,1631165320010764,0.0,DOWN,118959340.0,118962645.0,30.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165320045249.0,1631165320048554.0,37790.0,34485.0,Motorola moto g stylus (XT2115DL),none
31,119940402,1631165201089949,649,1631165321029702,0.0,DOWN,119968026.0,119971647.0,31.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165321053935.0,1631165321057556.0,27854.0,24233.0,Motorola moto g stylus (XT2115DL),none
32,120954670,1631165201089949,649,1631165322043970,0.0,DOWN,120984671.0,120989162.0,32.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165322070580.0,1631165322075071.0,31101.0,26610.0,Motorola moto g stylus (XT2115DL),none
33,121968557,1631165201089949,649,1631165323057857,0.0,DOWN,122002835.0,122008125.0,33.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165323088744.0,1631165323094034.0,36177.0,30887.0,Motorola moto g stylus (XT2115DL),none
34,122982353,1631165201089949,649,1631165324071653,0.0,DOWN,123001489.0,123004114.0,34.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165324087398.0,1631165324090023.0,18370.0,15745.0,Motorola moto g stylus (XT2115DL),none
35,123992462,1631165201089949,649,1631165325081762,0.0,DOWN,124026782.0,124029994.0,35.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165325112691.0,1631165325115903.0,34141.0,30929.0,Motorola moto g stylus (XT2115DL),none
36,125010482,1631165201089949,649,1631165326099782,0.0,DOWN,125043429.0,125046717.0,36.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165326129338.0,1631165326132626.0,32844.0,29556.0,Motorola moto g stylus (XT2115DL),none
37,126019725,1631165201089949,649,1631165327109025,0.0,DOWN,126043587.0,126046816.0,37.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165327129496.0,1631165327132725.0,23700.0,20471.0,Motorola moto g stylus (XT2115DL),none
38,127033966,1631165201089949,649,1631165328123266,0.0,DOWN,127075973.0,127078112.0,38.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165328161882.0,1631165328164021.0,40755.0,38616.0,Motorola moto g stylus (XT2115DL),none
39,128053312,1631165201089949,649,1631165329142612,0.0,DOWN,128085597.0,128088866.0,39.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165329171506.0,1631165329174775.0,32163.0,28894.0,Motorola moto g stylus (XT2115DL),none
40,129067592,1631165201089949,649,1631165330156892,0.0,DOWN,129110126.0,129115449.0,40.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165330196035.0,1631165330201358.0,44466.0,39143.0,Motorola moto g stylus (XT2115DL),none
41,130076442,1631165201089949,649,1631165331165742,0.0,DOWN,130109884.0,130114251.0,41.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165331195793.0,1631165331200160.0,34418.0,30051.0,Motorola moto g stylus (XT2115DL),none
42,131089844,1631165201089949,649,1631165332179144,0.0,DOWN,131127014.0,131131333.0,42.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165332212923.0,1631165332217242.0,38098.0,33779.0,Motorola moto g stylus (XT2115DL),none
43,132110357,1631165201089949,649,1631165333199657,0.0,DOWN,132160325.0,132165285.0,43.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165333246234.0,1631165333251194.0,51537.0,46577.0,Motorola moto g stylus (XT2115DL),none
44,133124624,1631165201089949,649,1631165334213924,0.0,DOWN,133153614.0,133158602.0,44.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165334239523.0,1631165334244511.0,30587.0,25599.0,Motorola moto g stylus (XT2115DL),none
45,134132634,1631165201089949,649,1631165335221934,0.0,DOWN,134192520.0,134195188.0,45.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165335278429.0,1631165335281097.0,59163.0,56495.0,Motorola moto g stylus (XT2115DL),none
46,135152767,1631165201089949,649,1631165336242067,0.0,DOWN,135186721.0,135191678.0,46.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165336272630.0,1631165336277587.0,35520.0,30563.0,Motorola moto g stylus (XT2115DL),none
47,136164515,1631165201089949,649,1631165337253815,0.0,DOWN,136228206.0,136232661.0,47.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165337314115.0,1631165337318570.0,64755.0,60300.0,Motorola moto g stylus (XT2115DL),none
48,137181670,1631165201089949,649,1631165338270970,0.0,DOWN,137245102.0,137250518.0,48.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165338331011.0,1631165338336427.0,65457.0,60041.0,Motorola moto g stylus (XT2115DL),none
49,138195544,1631165201089949,649,1631165339284844,0.0,DOWN,138344314.0,138348787.0,49.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165339430223.0,1631165339434696.0,149852.0,145379.0,Motorola moto g stylus (XT2115DL),none
50,139204813,1631165201089949,649,1631165340294113,0.0,DOWN,139261803.0,139266904.0,50.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165340347712.0,1631165340352813.0,58700.0,53599.0,Motorola moto g stylus (XT2115DL),none
51,140224526,1631165201089949,649,1631165341313826,,,,,,,,,,,,,,Motorola moto g stylus (XT2115DL),none
52,141233336,1631165201089949,649,1631165342322636,0.0,DOWN,141294992.0,141300783.0,51.0,0.025864832,0.025864832,1631165201089809.0,3900.0,1631165342380901.0,1631165342386692.0,64056.0,58265.0,Motorola moto g stylus (XT2115DL),none
53,142252615,1631165201089949,649,1631165343341915,0.0,DOWN,142410479.0,142415383.0,52.0,0.019398626,0.019398626,1631165201089809.0,3900.0,1631165343496388.0,1631165343501292.0,159377.0,154473.0,Motorola moto g stylus (XT2115DL),none
54,143260585,1631165201089949,649,1631165344349885,0.0,DOWN,143445305.0,143449267.0,53.0,0.006466208,0.006466208,1631165201089809.0,3900.0,1631165344531214.0,1631165344535176.0,185291.0,181329.0,Motorola moto g stylus (XT2115DL),none
55,144274840,1631165201089949,649,1631165345364140,0.0,DOWN,144461587.0,144466091.0,54.0,0.012932416,0.012932416,1631165201089809.0,3900.0,1631165345547496.0,1631165345552000.0,187860.0,183356.0,Motorola moto g stylus (XT2115DL),none
