index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,35195133,1631137055208896,1192,1631137090402837,0,DOWN,35102083,35104012,0,0.027121676,0.027121676,1631137055339267,2947,1631137090438403,1631137090440332,37495,35566,Samsung SM-A102U,none
1,35713334,1631137055208896,1192,1631137090921038,0,DOWN,35620132,35622841,1,0.027121676,0.027121676,1631137055339267,2947,1631137090956452,1631137090959161,38123,35414,Samsung SM-A102U,none
2,36236993,1631137055208896,1192,1631137091444697,0,DOWN,36136916,36138865,2,0.027121676,0.027121676,1631137055339267,2947,1631137091473236,1631137091475185,30488,28539,Samsung SM-A102U,none
3,36750627,1631137055208896,1192,1631137091958331,0,DOWN,36653313,36655117,3,0.027121676,0.027121676,1631137055339267,2947,1631137091989633,1631137091991437,33106,31302,Samsung SM-A102U,none
4,37266755,1631137055208896,1192,1631137092474459,0,DOWN,37170603,37172258,4,0.027121676,0.027121676,1631137055339267,2947,1631137092506923,1631137092508578,34119,32464,Samsung SM-A102U,none
5,37790847,1631137055208896,1192,1631137092998551,0,DOWN,37706967,37708621,5,0.027121676,0.027121676,1631137055339267,2947,1631137093043287,1631137093044941,46390,44736,Samsung SM-A102U,none
6,38304062,1631137055208896,1192,1631137093511766,0,DOWN,38220379,38222028,6,0.027121676,0.027121676,1631137055339267,2947,1631137093556699,1631137093558348,46582,44933,Samsung SM-A102U,none
7,38826920,1631137055208896,1192,1631137094034624,0,DOWN,38736848,38738594,7,0.027121676,0.027121676,1631137055339267,2947,1631137094073168,1631137094074914,40290,38544,Samsung SM-A102U,none
8,39344766,1631137055208896,1192,1631137094552470,0,DOWN,39252872,39255115,8,0.027121676,0.027121676,1631137055339267,2947,1631137094589192,1631137094591435,38965,36722,Samsung SM-A102U,none
9,39862967,1631137055208896,1192,1631137095070671,0,DOWN,39772851,39774615,9,0.027121676,0.027121676,1631137055339267,2947,1631137095109171,1631137095110935,40264,38500,Samsung SM-A102U,none
10,40374857,1631137055208896,1192,1631137095582561,0,DOWN,40291608,40294249,10,0.027121676,0.027121676,1631137055339267,2947,1631137095627928,1631137095630569,48008,45367,Samsung SM-A102U,none
11,40899709,1631137055208896,1192,1631137096107413,0,DOWN,40808432,40810095,11,0.027121676,0.027121676,1631137055339267,2947,1631137096144752,1631137096146415,39002,37339,Samsung SM-A102U,none
12,41413239,1631137055208896,1192,1631137096620943,0,DOWN,41319579,41321957,12,0.027121676,0.027121676,1631137055339267,2947,1631137096655899,1631137096658277,37334,34956,Samsung SM-A102U,none
13,41932201,1631137055208896,1192,1631137097139905,0,DOWN,41837158,41838945,13,0.027121676,0.027121676,1631137055339267,2947,1631137097173478,1631137097175265,35360,33573,Samsung SM-A102U,none
14,42451543,1631137055208896,1192,1631137097659247,0,DOWN,42370011,42371750,14,0.027121676,0.027121676,1631137055339267,2947,1631137097706331,1631137097708070,48823,47084,Samsung SM-A102U,none
15,42976763,1631137055208896,1192,1631137098184467,0,DOWN,42890185,42891926,15,0.027121676,0.027121676,1631137055339267,2947,1631137098226505,1631137098228246,43779,42038,Samsung SM-A102U,none
16,43489873,1631137055208896,1192,1631137098697577,0,DOWN,43402638,43404896,16,0.027121676,0.027121676,1631137055339267,2947,1631137098738958,1631137098741216,43639,41381,Samsung SM-A102U,none
17,44009687,1631137055208896,1192,1631137099217391,0,DOWN,43919669,43921318,17,0.027121676,0.027121676,1631137055339267,2947,1631137099255989,1631137099257638,40247,38598,Samsung SM-A102U,none
18,44528282,1631137055208896,1192,1631137099735986,0,DOWN,44435870,44437530,18,0.027121676,0.027121676,1631137055339267,2947,1631137099772190,1631137099773850,37864,36204,Samsung SM-A102U,none
19,45052675,1631137055208896,1192,1631137100260379,0,DOWN,44954279,44955962,19,0.027121676,0.027121676,1631137055339267,2947,1631137100290599,1631137100292282,31903,30220,Samsung SM-A102U,none
20,45566205,1631137055208896,1192,1631137100773909,0,DOWN,45469233,45471046,20,0.027121676,0.027121676,1631137055339267,2947,1631137100805553,1631137100807366,33457,31644,Samsung SM-A102U,none
21,46088525,1631137055208896,1192,1631137101296229,0,DOWN,46001225,46002754,21,0.027121676,0.027121676,1631137055339267,2947,1631137101337545,1631137101339074,42845,41316,Samsung SM-A102U,none
22,46610885,1631137055208896,1192,1631137101818589,0,DOWN,46518991,46520665,22,0.027121676,0.027121676,1631137055339267,2947,1631137101855311,1631137101856985,38396,36722,Samsung SM-A102U,none
23,47130739,1631137055208896,1192,1631137102338443,0,DOWN,47036879,47038551,23,0.027121676,0.027121676,1631137055339267,2947,1631137102373199,1631137102374871,36428,34756,Samsung SM-A102U,none
24,47643875,1631137055208896,1192,1631137102851579,0,DOWN,47552962,47554974,24,0.027121676,0.027121676,1631137055339267,2947,1631137102889282,1631137102891294,39715,37703,Samsung SM-A102U,none
25,48162850,1631137055208896,1192,1631137103370554,0,DOWN,48069975,48072315,25,0.027121676,0.027121676,1631137055339267,2947,1631137103406295,1631137103408635,38081,35741,Samsung SM-A102U,none
26,48687650,1631137055208896,1192,1631137103895354,0,DOWN,48586060,48587780,26,0.027121676,0.027121676,1631137055339267,2947,1631137103922380,1631137103924100,28746,27026,Samsung SM-A102U,none
27,49201599,1631137055208896,1192,1631137104409303,0,DOWN,49119124,49121448,27,0.027121676,0.027121676,1631137055339267,2947,1631137104455444,1631137104457768,48465,46141,Samsung SM-A102U,none
28,49726019,1631137055208896,1192,1631137104933723,0,DOWN,49636201,49637866,28,0.027121676,0.027121676,1631137055339267,2947,1631137104972521,1631137104974186,40463,38798,Samsung SM-A102U,none
29,50241648,1631137055208896,1192,1631137105449352,0,DOWN,50153107,50154904,29,0.027121676,0.027121676,1631137055339267,2947,1631137105489427,1631137105491224,41872,40075,Samsung SM-A102U,none
30,50759337,1631137055208896,1192,1631137105967041,0,DOWN,50670313,50672004,30,0.027121676,0.027121676,1631137055339267,2947,1631137106006633,1631137106008324,41283,39592,Samsung SM-A102U,none
31,51278272,1631137055208896,1192,1631137106485976,0,DOWN,51185950,51188409,31,0.027121676,0.027121676,1631137055339267,2947,1631137106522270,1631137106524729,38753,36294,Samsung SM-A102U,none
32,51797194,1631137055208896,1192,1631137107004898,0,DOWN,51706249,51707956,32,0.027121676,0.027121676,1631137055339267,2947,1631137107042569,1631137107044276,39378,37671,Samsung SM-A102U,none
33,52322834,1631137055208896,1192,1631137107530538,0,DOWN,52219453,52221143,33,0.027121676,0.027121676,1631137055339267,2947,1631137107555773,1631137107557463,26925,25235,Samsung SM-A102U,none
34,52835944,1631137055208896,1192,1631137108043648,0,DOWN,52757665,52759424,34,0.027121676,0.027121676,1631137055339267,2947,1631137108093985,1631137108095744,52096,50337,Samsung SM-A102U,none
35,53356165,1631137055208896,1192,1631137108563869,0,DOWN,53268307,53269921,35,0.027121676,0.027121676,1631137055339267,2947,1631137108604627,1631137108606241,42372,40758,Samsung SM-A102U,none
36,53876767,1631137055208896,1192,1631137109084471,0,DOWN,53785959,53787855,36,0.027121676,0.027121676,1631137055339267,2947,1631137109122279,1631137109124175,39704,37808,Samsung SM-A102U,none
37,54395361,1631137055208896,1192,1631137109603065,0,DOWN,54303013,54304675,37,0.027121676,0.027121676,1631137055339267,2947,1631137109639333,1631137109640995,37930,36268,Samsung SM-A102U,none
38,54914283,1631137055208896,1192,1631137110121987,0,DOWN,54824364,54826020,38,0.027121676,0.027121676,1631137055339267,2947,1631137110160684,1631137110162340,40353,38697,Samsung SM-A102U,none
39,55438677,1631137055208896,1192,1631137110646381,0,DOWN,55341025,55342763,39,0.027121676,0.027121676,1631137055339267,2947,1631137110677345,1631137110679083,32702,30964,Samsung SM-A102U,none
40,55951787,1631137055208896,1192,1631137111159491,0,DOWN,55869177,55870969,40,0.027121676,0.027121676,1631137055339267,2947,1631137111205497,1631137111207289,47798,46006,Samsung SM-A102U,none
41,56477046,1631137055208896,1192,1631137111684750,0,DOWN,56390982,56392638,41,0.027121676,0.027121676,1631137055339267,2947,1631137111727302,1631137111728958,44208,42552,Samsung SM-A102U,none
42,56990576,1631137055208896,1192,1631137112198280,0,DOWN,56903068,56904898,42,0.027121676,0.027121676,1631137055339267,2947,1631137112239388,1631137112241218,42938,41108,Samsung SM-A102U,none
43,57515835,1631137055208896,1192,1631137112723539,0,DOWN,57419113,57420914,43,0.027121676,0.027121676,1631137055339267,2947,1631137112755433,1631137112757234,33695,31894,Samsung SM-A102U,none
44,58034823,1631137055208896,1192,1631137113242527,0,DOWN,57935955,57937611,44,0.027121676,0.027121676,1631137055339267,2947,1631137113272275,1631137113273931,31404,29748,Samsung SM-A102U,none
45,58552066,1631137055208896,1192,1631137113759770,0,DOWN,58451832,58454199,45,0.027121676,0.027121676,1631137055339267,2947,1631137113788152,1631137113790519,30749,28382,Samsung SM-A102U,none
46,59068062,1631137055208896,1192,1631137114275766,0,DOWN,58985514,58987957,46,0.027121676,0.027121676,1631137055339267,2947,1631137114321834,1631137114324277,48511,46068,Samsung SM-A102U,none
47,59589530,1631137055208896,1192,1631137114797234,0,DOWN,59502598,59504245,47,0.027121676,0.027121676,1631137055339267,2947,1631137114838918,1631137114840565,43331,41684,Samsung SM-A102U,none
48,60109384,1631137055208896,1192,1631137115317088,0,DOWN,60019214,60020862,48,0.027121676,0.027121676,1631137055339267,2947,1631137115355534,1631137115357182,40094,38446,Samsung SM-A102U,none
49,60627453,1631137055208896,1192,1631137115835157,0,DOWN,60535510,60537163,49,0.027121676,0.027121676,1631137055339267,2947,1631137115871830,1631137115873483,38326,36673,Samsung SM-A102U,none
50,61145549,1631137055208896,1192,1631137116353253,0,DOWN,61051947,61054167,50,0.027121676,0.027121676,1631137055339267,2947,1631137116388267,1631137116390487,37234,35014,Samsung SM-A102U,none
51,61664064,1631137055208896,1192,1631137116871768,0,DOWN,61569072,61570908,51,0.027121676,0.027121676,1631137055339267,2947,1631137116905392,1631137116907228,35460,33624,Samsung SM-A102U,none
52,62183826,1631137055208896,1192,1631137117391530,0,DOWN,62105703,62107882,52,0.027121676,0.027121676,1631137055339267,2947,1631137117442023,1631137117444202,52672,50493,Samsung SM-A102U,none
53,62703168,1631137055208896,1192,1631137117910872,0,DOWN,62619060,62621250,53,0.027121676,0.027121676,1631137055339267,2947,1631137117955380,1631137117957570,46698,44508,Samsung SM-A102U,none
54,63228808,1631137055208896,1192,1631137118436512,0,DOWN,63137111,63139205,54,0.027121676,0.027121676,1631137055339267,2947,1631137118473431,1631137118475525,39013,36919,Samsung SM-A102U,none
55,63743584,1631137055208896,1192,1631137118951288,0,DOWN,63652188,63653845,55,0.027121676,0.027121676,1631137055339267,2947,1631137118988508,1631137118990165,38877,37220,Samsung SM-A102U,none
56,64261706,1631137055208896,1192,1631137119469410,0,DOWN,64168864,64170623,56,0.027121676,0.027121676,1631137055339267,2947,1631137119505184,1631137119506943,37533,35774,Samsung SM-A102U,none
57,64779802,1631137055208896,1192,1631137119987506,0,DOWN,64687100,64688757,57,0.027121676,0.027121676,1631137055339267,2947,1631137120023420,1631137120025077,37571,35914,Samsung SM-A102U,none
