index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,11599583,1631119954557803,2523,1631119966154863,0,DOWN,11626013,11629134,0,0.00814965,0.0054331003,1631119954557698,1917,1631119966181794,1631119966184915,30052,26931,Samsung SM-A305G,none
1,11814659,1631119954557803,2523,1631119966369939,0,DOWN,11842854,11845901,1,0.00814965,0.0054331003,1631119954557698,1917,1631119966398635,1631119966401682,31743,28696,Samsung SM-A305G,none
2,12028489,1631119954557803,2523,1631119966583769,0,DOWN,12059643,12062737,2,0.00814965,0.00814965,1631119954557698,1917,1631119966615424,1631119966618518,34749,31655,Samsung SM-A305G,none
3,12242751,1631119954557803,2523,1631119966798031,0,DOWN,12268450,12272093,3,0.00814965,0.0054331003,1631119954557698,1917,1631119966824231,1631119966827874,29843,26200,Samsung SM-A305G,none
4,12457421,1631119954557803,2523,1631119967012701,0,DOWN,12485170,12489054,4,0.00814965,0.0054331003,1631119954557698,1917,1631119967040951,1631119967044835,32134,28250,Samsung SM-A305G,none
5,12670424,1631119954557803,2523,1631119967225704,0,DOWN,12701982,12705730,5,0.00814965,0.0054331003,1631119954557698,1917,1631119967257763,1631119967261511,35807,32059,Samsung SM-A305G,none
6,12884687,1631119954557803,2523,1631119967439967,0,DOWN,12910050,12912532,6,0.00814965,0.0054331003,1631119954557698,1917,1631119967465831,1631119967468313,28346,25864,Samsung SM-A305G,none
7,13099356,1631119954557803,2523,1631119967654636,0,DOWN,13126805,13129073,7,0.00814965,0.0054331003,1631119954557698,1917,1631119967682586,1631119967684854,30218,27950,Samsung SM-A305G,none
8,13312359,1631119954557803,2523,1631119967867639,0,DOWN,13343662,13345815,8,0.00814965,0.0054331003,1631119954557698,1917,1631119967899443,1631119967901596,33957,31804,Samsung SM-A305G,none
9,13526202,1631119954557803,2523,1631119968081482,0,DOWN,13552577,13556097,9,0.00814965,0.0054331003,1631119954557698,1917,1631119968108358,1631119968111878,30396,26876,Samsung SM-A305G,none
10,13740465,1631119954557803,2523,1631119968295745,0,DOWN,13769267,13773620,10,0.00814965,0.0054331003,1631119954557698,1917,1631119968325048,1631119968329401,33656,29303,Samsung SM-A305G,none
