index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,11332438,1631216263777394,1231,1631216275108601,0,DOWN,11406055,11409339,0,0.0054471185,0.0054471185,1631216263774741,3165,1631216275177631,1631216275180915,72314,69030,Samsung SM-A515F,none
1,11546242,1631216263777394,1231,1631216275322405,0,DOWN,11578084,11579437,1,0.0054471185,0.0054471185,1631216263774741,3165,1631216275349660,1631216275351013,28608,27255,Samsung SM-A515F,none
2,11760505,1631216263777394,1231,1631216275536668,0,DOWN,11793938,11795158,2,0.0054471185,0.0054471185,1631216263774741,3165,1631216275565514,1631216275566734,30066,28846,Samsung SM-A515F,none
3,11974348,1631216263777394,1231,1631216275750511,0,DOWN,12009819,12011029,3,0.0054471185,0.0054471185,1631216263774741,3165,1631216275781395,1631216275782605,32094,30884,Samsung SM-A515F,none
4,12188190,1631216263777394,1231,1631216275964353,0,DOWN,12225607,12227020,4,0.0054471185,0.0054471185,1631216263774741,3165,1631216275997183,1631216275998596,34243,32830,Samsung SM-A515F,none
5,12402020,1631216263777394,1231,1631216276178183,0,DOWN,12433148,12434515,5,0.0054471185,0.0054471185,1631216263774741,3165,1631216276204724,1631216276206091,27908,26541,Samsung SM-A515F,none
6,12617123,1631216263777394,1231,1631216276393286,0,DOWN,12649044,12650445,6,0.0054471185,0.0054471185,1631216263774741,3165,1631216276420620,1631216276422021,28735,27334,Samsung SM-A515F,none
7,12830113,1631216263777394,1231,1631216276606276,0,DOWN,12865370,12866713,7,0.0054471185,0.0054471185,1631216263774741,3165,1631216276636946,1631216276638289,32013,30670,Samsung SM-A515F,none
8,13043969,1631216263777394,1231,1631216276820132,0,DOWN,13073307,13074533,8,0.0054471185,0.0054471185,1631216263774741,3165,1631216276844883,1631216276846109,25977,24751,Samsung SM-A515F,none
9,13258651,1631216263777394,1231,1631216277034814,0,DOWN,13289941,13291235,9,0.0054471185,0.0054471185,1631216263774741,3165,1631216277061517,1631216277062811,27997,26703,Samsung SM-A515F,none
10,13472901,1631216263777394,1231,1631216277249064,0,DOWN,13506392,13507720,10,0.0054471185,0.0054471185,1631216263774741,3165,1631216277277968,1631216277279296,30232,28904,Samsung SM-A515F,none
11,13687885,1631216263777394,1231,1631216277464048,0,DOWN,13714818,13715933,11,0.0054471185,0.0054471185,1631216263774741,3165,1631216277486394,1631216277487509,23461,22346,Samsung SM-A515F,none
