index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,88790918,1631144202010870,1237,1631144290800551,0,DOWN,88812350,88815278,0,0.0054471185,0.0027235593,1631144202010813,2849,1631144290820314,1631144290823242,22691,19763,Samsung SM-A525M,none
1,89803677,1631144202010870,1237,1631144291813310,0,DOWN,89818655,89821802,1,0.0054471185,0.0027235593,1631144202010813,2849,1631144291826619,1631144291829766,16456,13309,Samsung SM-A525M,none
2,90821986,1631144202010870,1237,1631144292831619,0,DOWN,90832773,90836721,2,0.0054471185,0.0027235593,1631144202010813,2849,1631144292840737,1631144292844685,13066,9118,Samsung SM-A525M,none
3,91828080,1631144202010870,1237,1631144293837713,0,DOWN,91846229,91849878,3,0.0054471185,0.0027235593,1631144202010813,2849,1631144293854193,1631144293857842,20129,16480,Samsung SM-A525M,none
4,92840038,1631144202010870,1237,1631144294849671,0,DOWN,92858612,92861966,4,0.0054471185,0.0027235593,1631144202010813,2849,1631144294866576,1631144294869930,20259,16905,Samsung SM-A525M,none
5,93851643,1631144202010870,1237,1631144295861276,0,DOWN,93872799,93876658,5,0.0054471185,0.0027235593,1631144202010813,2849,1631144295880763,1631144295884622,23346,19487,Samsung SM-A525M,none
6,94864914,1631144202010870,1237,1631144296874547,0,DOWN,94886054,94889930,6,0.008170677,0.008170677,1631144202010813,2849,1631144296894018,1631144296897894,23347,19471,Samsung SM-A525M,none
7,95881963,1631144202010870,1237,1631144297891596,0,DOWN,95897817,95901712,7,0.008170677,0.008170677,1631144202010813,2849,1631144297905781,1631144297909676,18080,14185,Samsung SM-A525M,none
8,96887650,1631144202010870,1237,1631144298897283,0,DOWN,96913797,96917465,8,0.008170677,0.008170677,1631144202010813,2849,1631144298921761,1631144298925429,28146,24478,Samsung SM-A525M,none
9,97899609,1631144202010870,1237,1631144299909242,0,DOWN,97915743,97919502,9,0.008170677,0.008170677,1631144202010813,2849,1631144299923707,1631144299927466,18224,14465,Samsung SM-A525M,none
10,98911633,1631144202010870,1237,1631144300921266,0,DOWN,98929698,98933324,10,0.008170677,0.008170677,1631144202010813,2849,1631144300937662,1631144300941288,20022,16396,Samsung SM-A525M,none
11,99924799,1631144202010870,1237,1631144301934432,0,DOWN,99943193,99946437,11,0.008170677,0.008170677,1631144202010813,2849,1631144301951157,1631144301954401,19969,16725,Samsung SM-A525M,none
12,100937532,1631144202010870,1237,1631144302947165,0,DOWN,100954993,100957012,12,0.010894237,0.010894237,1631144202010813,2849,1631144302962957,1631144302964976,17811,15792,Samsung SM-A525M,none
13,101951747,1631144202010870,1237,1631144303961380,0,DOWN,101967615,101971202,13,0.010894237,0.010894237,1631144202010813,2849,1631144303975579,1631144303979166,17786,14199,Samsung SM-A525M,none
14,102966054,1631144202010870,1237,1631144304975687,0,DOWN,102984346,102988241,14,0.010894237,0.010894237,1631144202010813,2849,1631144304992310,1631144304996205,20518,16623,Samsung SM-A525M,none
15,103980782,1631144202010870,1237,1631144305990415,0,DOWN,103996427,104000265,15,0.010894237,0.010894237,1631144202010813,2849,1631144306004391,1631144306008229,17814,13976,Samsung SM-A525M,none
