index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,88952876,1631134172204710,1379,1631134261156207,0,DOWN,88923829,88929492,0,0.008458415,0.008458415,1631134172250373,6211,1631134261167991,1631134261173654,17447,11784,Samsung SM-G960U,none
1,89961463,1631134172204710,1379,1631134262164794,0,DOWN,89943241,89948016,1,0.008458415,0.008458415,1631134172250373,6211,1631134262187403,1631134262192178,27384,22609,Samsung SM-G960U,none
2,90972989,1631134172204710,1379,1631134263176320,0,DOWN,90964913,90970119,2,0.008458415,0.008458415,1631134172250373,6211,1631134263209075,1631134263214281,37961,32755,Samsung SM-G960U,none
3,91985433,1631134172204710,1379,1631134264188764,0,DOWN,91967250,91972880,3,0.008458415,0.008458415,1631134172250373,6211,1631134264211412,1631134264217042,28278,22648,Samsung SM-G960U,none
4,92997864,1631134172204710,1379,1631134265201195,0,DOWN,92973470,92977788,4,0.008458415,0.008458415,1631134172250373,6211,1631134265217632,1631134265221950,20755,16437,Samsung SM-G960U,none
5,94015333,1631134172204710,1379,1631134266218664,0,DOWN,93983256,93987121,5,0.008458415,0.008458415,1631134172250373,6211,1631134266227418,1631134266231283,12619,8754,Samsung SM-G960U,none
6,95021440,1631134172204710,1379,1631134267224771,0,DOWN,94996588,95000423,6,0.0056389435,0.0056389435,1631134172250373,6211,1631134267240750,1631134267244585,19814,15979,Samsung SM-G960U,none
7,96035498,1631134172204710,1379,1631134268238829,0,DOWN,96011292,96015535,7,0.008458415,0.008458415,1631134172250373,6211,1631134268255454,1631134268259697,20868,16625,Samsung SM-G960U,none
8,97044977,1631134172204710,1379,1631134269248308,0,DOWN,97017753,97022315,8,0.008458415,0.008458415,1631134172250373,6211,1631134269261915,1631134269266477,18169,13607,Samsung SM-G960U,none
9,98064047,1631134172204710,1379,1631134270267378,0,DOWN,98044248,98049050,9,0.0056389435,0.0056389435,1631134172250373,6211,1631134270288410,1631134270293212,25834,21032,Samsung SM-G960U,none
10,99070561,1631134172204710,1379,1631134271273892,0,DOWN,99067408,99072379,10,0.008458415,0.008458415,1631134172250373,6211,1631134271311570,1631134271316541,42649,37678,Samsung SM-G960U,none
11,100085340,1631134172204710,1379,1631134272288671,0,DOWN,100081339,100085854,11,0.008458415,0.008458415,1631134172250373,6211,1631134272325501,1631134272330016,41345,36830,Samsung SM-G960U,none
12,101097115,1631134172204710,1379,1631134273300446,0,DOWN,101083719,101088630,12,0.008458415,0.008458415,1631134172250373,6211,1631134273327881,1631134273332792,32346,27435,Samsung SM-G960U,none
13,102111344,1631134172204710,1379,1631134274314675,0,DOWN,102097620,102103977,13,0.008458415,0.008458415,1631134172250373,6211,1631134274341782,1631134274348139,33464,27107,Samsung SM-G960U,none
14,103125651,1631134172204710,1379,1631134275328982,0,DOWN,103105316,103110114,14,0.008458415,0.008458415,1631134172250373,6211,1631134275349478,1631134275354276,25294,20496,Samsung SM-G960U,none
