index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,89377629,1631142642070754,2238,1631142731446145,0,DOWN,89351907,89354590,0,1.8681676,1.8681676,1631142642123597,2289,1631142731473215,1631142731475898,29753,27070,Samsung SM-S111DL,none
1,90395886,1631142642070754,2238,1631142732464402,0,DOWN,90366561,90370623,1,1.8681676,1.8681676,1631142642123597,2289,1631142732487869,1631142732491931,27529,23467,Samsung SM-S111DL,none
2,91403659,1631142642070754,2238,1631142733472175,0,DOWN,91377425,91381863,2,1.8681676,1.8681676,1631142642123597,2289,1631142733498733,1631142733503171,30996,26558,Samsung SM-S111DL,none
3,92415185,1631142642070754,2238,1631142734483701,0,DOWN,92391404,92395221,3,1.8681676,1.8681676,1631142642123597,2289,1631142734512712,1631142734516529,32828,29011,Samsung SM-S111DL,none
4,93426776,1631142642070754,2238,1631142735495292,0,DOWN,93404458,93407854,4,1.8681676,1.8681676,1631142642123597,2289,1631142735525766,1631142735529162,33870,30474,Samsung SM-S111DL,none
5,94439535,1631142642070754,2238,1631142736508051,0,DOWN,94415473,94419585,5,1.8681676,1.8681676,1631142642123597,2289,1631142736536781,1631142736540893,32842,28730,Samsung SM-S111DL,none
6,95451547,1631142642070754,2238,1631142737520063,0,DOWN,95424754,95428589,6,1.8681676,1.8681676,1631142642123597,2289,1631142737546062,1631142737549897,29834,25999,Samsung SM-S111DL,none
7,96463046,1631142642070754,2238,1631142738531562,0,DOWN,96442531,96445552,7,1.8681676,1.8681676,1631142642123597,2289,1631142738563839,1631142738566860,35298,32277,Samsung SM-S111DL,none
8,97480528,1631142642070754,2238,1631142739549044,0,DOWN,97450959,97454466,8,1.8681676,1.8681676,1631142642123597,2289,1631142739572267,1631142739575774,26730,23223,Samsung SM-S111DL,none
9,98492920,1631142642070754,2238,1631142740561436,0,DOWN,98461024,98464099,9,1.8681676,1.8681676,1631142642123597,2289,1631142740582332,1631142740585407,23971,20896,Samsung SM-S111DL,none
10,99499906,1631142642070754,2238,1631142741568422,0,DOWN,99480075,99484006,10,1.8681676,1.8681676,1631142642123597,2289,1631142741601383,1631142741605314,36892,32961,Samsung SM-S111DL,none
11,100513413,1631142642070754,2238,1631142742581929,0,DOWN,100489785,100494833,11,1.8681676,1.8681676,1631142642123597,2289,1631142742611093,1631142742616141,34212,29164,Samsung SM-S111DL,none
12,101527720,1631142642070754,2238,1631142743596236,0,DOWN,101507139,101511618,12,1.8681676,1.8681676,1631142642123597,2289,1631142743628447,1631142743632926,36690,32211,Samsung SM-S111DL,none
13,102544140,1631142642070754,2238,1631142744612656,0,DOWN,102519625,102523392,13,1.8681676,1.8681676,1631142642123597,2289,1631142744640933,1631142744644700,32044,28277,Samsung SM-S111DL,none
14,103557594,1631142642070754,2238,1631142745626110,0,DOWN,103537874,103541913,14,1.8681676,1.8681676,1631142642123597,2289,1631142745659182,1631142745663221,37111,33072,Samsung SM-S111DL,none
15,104571901,1631142642070754,2238,1631142746640417,0,DOWN,104547855,104551468,15,1.8681676,1.8681676,1631142642123597,2289,1631142746669163,1631142746672776,32359,28746,Samsung SM-S111DL,none
16,105587061,1631142642070754,2238,1631142747655577,0,DOWN,105565028,105568548,16,1.8681676,1.8681676,1631142642123597,2289,1631142747686336,1631142747689856,34279,30759,Samsung SM-S111DL,none
17,106601356,1631142642070754,2238,1631142748669872,0,DOWN,106573203,106576833,17,1.8681676,1.8681676,1631142642123597,2289,1631142748694511,1631142748698141,28269,24639,Samsung SM-S111DL,none
18,107615243,1631142642070754,2238,1631142749683759,0,DOWN,107592163,107596184,18,1.8681676,1.8681676,1631142642123597,2289,1631142749713471,1631142749717492,33733,29712,Samsung SM-S111DL,none
19,108629878,1631142642070754,2238,1631142750698394,0,DOWN,108602129,108605296,19,1.8681676,1.8681676,1631142642123597,2289,1631142750723437,1631142750726604,28210,25043,Samsung SM-S111DL,none
20,109646704,1631142642070754,2238,1631142751715220,0,DOWN,109616608,109619450,20,1.8681676,1.8681676,1631142642123597,2289,1631142751737916,1631142751740758,25538,22696,Samsung SM-S111DL,none
21,110659319,1631142642070754,2238,1631142752727835,0,DOWN,110625815,110630530,21,1.8681676,1.8681676,1631142642123597,2289,1631142752747123,1631142752751838,24003,19288,Samsung SM-S111DL,none
