index_fixture,timestamp_fixture,t0_us_fixture,offset_us_fixture,corrected_timestamp_fixture,action_mobile,actionName_mobile,actionTime_mobile,callbackTime_mobile,index_mobile,touchMajor_mobile,touchMinor_mobile,t0_us_mobile,offset_us_mobile,corrected_actionTime_mobile,corrected_callbackTime_mobile,action_latency_us,callback_latency_us,phone_model,load
0,91620729,1631229420786693,1457,1631229512405965,0,ACTION_DOWN,91601912,91603388,0,51.295166015625,51.295166015625,1631229420836111,1800,1631229512436223,1631229512437699,31734,30258,iPhone9_1,none
1,92634406,1631229420786693,1457,1631229513419642,0,ACTION_DOWN,92601989,92603459,1,51.295166015625,51.295166015625,1631229420836111,1800,1631229513436300,1631229513437770,18128,16658,iPhone9_1,none
2,93644318,1631229420786693,1457,1631229514429554,0,ACTION_DOWN,93618654,93620114,2,51.295166015625,51.295166015625,1631229420836111,1800,1631229514452965,1631229514454425,24871,23411,iPhone9_1,none
3,94657077,1631229420786693,1457,1631229515442313,0,ACTION_DOWN,94635531,94637035,3,51.295166015625,51.295166015625,1631229420836111,1800,1631229515469842,1631229515471346,29033,27529,iPhone9_1,none
4,95670361,1631229420786693,1457,1631229516455597,0,ACTION_DOWN,95652172,95653671,4,51.295166015625,51.295166015625,1631229420836111,1800,1631229516486483,1631229516487982,32385,30886,iPhone9_1,none
5,96686977,1631229420786693,1457,1631229517472213,0,ACTION_DOWN,96652174,96653590,5,51.295166015625,51.295166015625,1631229420836111,1800,1631229517486485,1631229517487901,15688,14272,iPhone9_1,none
6,97693504,1631229420786693,1457,1631229518478740,0,ACTION_DOWN,97668995,97670504,6,51.295166015625,51.295166015625,1631229420836111,1800,1631229518503306,1631229518504815,26075,24566,iPhone9_1,none
7,98706723,1631229420786693,1457,1631229519491959,0,ACTION_DOWN,98669034,98670493,7,51.295166015625,51.295166015625,1631229420836111,1800,1631229519503345,1631229519504804,12845,11386,iPhone9_1,none
8,99718314,1631229420786693,1457,1631229520503550,0,ACTION_DOWN,99685715,99687233,8,51.295166015625,51.295166015625,1631229420836111,1800,1631229520520026,1631229520521544,17994,16476,iPhone9_1,none
9,100735376,1631229420786693,1457,1631229521520612,0,ACTION_DOWN,100702540,100704051,9,51.295166015625,51.295166015625,1631229420836111,1800,1631229521536851,1631229521538362,17750,16239,iPhone9_1,none
10,101742625,1631229420786693,1457,1631229522527861,0,ACTION_DOWN,101719251,101720638,10,51.295166015625,51.295166015625,1631229420836111,1800,1631229522553562,1631229522554949,27088,25701,iPhone9_1,none
11,102762325,1631229420786693,1457,1631229523547561,0,ACTION_DOWN,102736028,102737511,11,51.295166015625,51.295166015625,1631229420836111,1800,1631229523570339,1631229523571822,24261,22778,iPhone9_1,none
12,103776172,1631229420786693,1457,1631229524561408,0,ACTION_DOWN,103752784,103754305,12,51.295166015625,51.295166015625,1631229420836111,1800,1631229524587095,1631229524588616,27208,25687,iPhone9_1,none
13,104790388,1631229420786693,1457,1631229525575624,0,ACTION_DOWN,104752721,104754234,13,51.295166015625,51.295166015625,1631229420836111,1800,1631229525587032,1631229525588545,12921,11408,iPhone9_1,none
14,105798397,1631229420786693,1457,1631229526583633,0,ACTION_DOWN,105769490,105770977,14,51.295166015625,51.295166015625,1631229420836111,1800,1631229526603801,1631229526605288,21655,20168,iPhone9_1,none
15,106818110,1631229420786693,1457,1631229527603346,0,ACTION_DOWN,106786161,106787583,15,51.295166015625,51.295166015625,1631229420836111,1800,1631229527620472,1631229527621894,18548,17126,iPhone9_1,none
16,107833218,1631229420786693,1457,1631229528618454,0,ACTION_DOWN,107803086,107804635,16,51.295166015625,51.295166015625,1631229420836111,1800,1631229528637397,1631229528638946,20492,18943,iPhone9_1,none
17,108841647,1631229420786693,1457,1631229529626883,0,ACTION_DOWN,108819665,108821265,17,51.295166015625,51.295166015625,1631229420836111,1800,1631229529653976,1631229529655576,28693,27093,iPhone9_1,none
18,109857581,1631229420786693,1457,1631229530642817,0,ACTION_DOWN,109836441,109837962,18,51.295166015625,51.295166015625,1631229420836111,1800,1631229530670752,1631229530672273,29456,27935,iPhone9_1,none
19,110870196,1631229420786693,1457,1631229531655432,0,ACTION_DOWN,110853231,110854753,19,51.295166015625,51.295166015625,1631229420836111,1800,1631229531687542,1631229531689064,33632,32110,iPhone9_1,none
20,111883152,1631229420786693,1457,1631229532668388,0,ACTION_DOWN,111853263,111854725,20,51.295166015625,51.295166015625,1631229420836111,1800,1631229532687574,1631229532689036,20648,19186,iPhone9_1,none
21,112903245,1631229420786693,1457,1631229533688481,0,ACTION_DOWN,112869918,112871503,21,51.295166015625,51.295166015625,1631229420836111,1800,1631229533704229,1631229533705814,17333,15748,iPhone9_1,none
22,113911635,1631229420786693,1457,1631229534696871,0,ACTION_DOWN,113886813,113888327,22,51.295166015625,51.295166015625,1631229420836111,1800,1631229534721124,1631229534722638,25767,24253,iPhone9_1,none
23,114925470,1631229420786693,1457,1631229535710706,0,ACTION_DOWN,114903383,114904817,23,51.295166015625,51.295166015625,1631229420836111,1800,1631229535737694,1631229535739128,28422,26988,iPhone9_1,none
24,115939357,1631229420786693,1457,1631229536724593,0,ACTION_DOWN,115903517,115904987,24,51.295166015625,51.295166015625,1631229420836111,1800,1631229536737828,1631229536739298,14705,13235,iPhone9_1,none
25,116953664,1631229420786693,1457,1631229537738900,0,ACTION_DOWN,116936996,116938558,25,51.295166015625,51.295166015625,1631229420836111,1800,1631229537771307,1631229537772869,33969,32407,iPhone9_1,none
26,117968719,1631229420786693,1457,1631229538753955,0,ACTION_DOWN,117936906,117938386,26,51.295166015625,51.295166015625,1631229420836111,1800,1631229538771217,1631229538772697,18742,17262,iPhone9_1,none
27,118988471,1631229420786693,1457,1631229539773707,0,ACTION_DOWN,118953732,118955240,27,51.295166015625,51.295166015625,1631229420836111,1800,1631229539788043,1631229539789551,15844,14336,iPhone9_1,none
28,119996875,1631229420786693,1457,1631229540782111,0,ACTION_DOWN,119970425,119971951,28,51.295166015625,51.295166015625,1631229420836111,1800,1631229540804736,1631229540806262,24151,22625,iPhone9_1,none
29,121014055,1631229420786693,1457,1631229541799291,0,ACTION_DOWN,121003984,121005401,29,51.295166015625,51.295166015625,1631229420836111,1800,1631229541838295,1631229541839712,40421,39004,iPhone9_1,none
30,122027090,1631229420786693,1457,1631229542812326,0,ACTION_DOWN,122020569,122022033,30,51.295166015625,51.295166015625,1631229420836111,1800,1631229542854880,1631229542856344,44018,42554,iPhone9_1,none
