phone_name,filename,fixture_avgTcs,fixture_offset,fixture_stdDevTcs,mobile_avgTcs,mobile_offset,mobile_stdDevTcs
TINNO Wiko U614AS,03-JSON_data/session_2021-09-08_21-48-27_WikoU61AS_display.json,1149,1189,160,4188,4548,1663
iPhone12_8,03-JSON_data/session_2022-03-07_02-11-34_iPhone12_8_capacitive.json,1265,1265,237,4986,5618,3535
Samsung SM-A125M,03-JSON_data/session_2021-09-09_20-06-13_SM-A125M_solenoid.json,-1643,1282,8777,2912,2784,846
Google Pixel 3a,03-JSON_data/session_2022-03-06_02-09-41_Pixel_3a_display.json,473,473,421,1962,1529,2262
Samsung SM-S111DL,03-JSON_data/session_2021-09-08_23-02-33_SM-S111DL_capacitive.json,1416,1416,224,4234,3919,1834
Samsung SM-A305G,03-JSON_data/session_2021-09-08_16-39-04_SM-A305G_display.json,2680,2680,248,5189,5187,4340
iPhone11_8,03-JSON_data/session_2021-09-13_23-23-37_iPhoneXR_capacitive.json,2053,2053,137,1617,1390,819
iPhone11_2,03-JSON_data/session_2021-09-09_23-50-11_iPhoneXS_solenoid.json,930,1036,355,2031,1815,1218
Motorola moto g stylus (XT2115DL),03-JSON_data/session_2021-09-09_05-26-41_motogstylus_solenoid.json,712,649,261,3746,3900,946
Samsung SM-N970U1,03-JSON_data/session_2022-03-07_01-22-15_Samsung_SM-970U1_display.json,1792,1792,134,3621,3621,4252
iPhone10_4,03-JSON_data/session_2021-09-11_00-33-39_iPhone8_solenoid.json,1234,1234,145,1306,1316,269
Samsung SM-N960U1,03-JSON_data/session_2022-03-07_00-34-30_Samsung_SM-N960U1_capacitive.json,1275,1321,173,10506,8011,9243
Samsung SM-A325M,03-JSON_data/session_2021-09-09_20-22-19_SM-A325M_display.json,1237,1237,68,1958,2749,3564
Motorola moto g stylus (XT2115DL),03-JSON_data/session_2021-09-09_05-09-57_motogstylus_display.json,870,870,244,4373,4502,884
